id,protocol,use_tls,temperature,humidity,current,client_timestamp,server_timestamp,latency_ms,payload_size_bytes,created_at
30,mqtt,f,20.53,51.9,2.65,1772146035.3496957,1772146035.3525333,2.837657928466797,90,2026-02-26 22:47:15.352632
31,mqtt,f,26.55,59.44,2.9,1772146035.4036558,1772146035.4069421,3.2863616943359375,90,2026-02-26 22:47:15.407043
32,mqtt,f,22.92,46.89,1.81,1772146035.457674,1772146035.460896,3.2219886779785156,90,2026-02-26 22:47:15.461021
33,mqtt,f,22.01,53.69,3.79,1772146035.5116918,1772146035.5143726,2.6807785034179688,91,2026-02-26 22:47:15.51447
34,mqtt,f,29.55,53.79,3.81,1772146035.5652444,1772146035.5691168,3.872394561767578,91,2026-02-26 22:47:15.569212
35,mqtt,f,23.06,50.61,3.59,1772146035.619859,1772146035.6239128,4.053831100463867,90,2026-02-26 22:47:15.624071
36,mqtt,f,21.42,51.76,3.94,1772146035.6746845,1772146035.677446,2.761363983154297,91,2026-02-26 22:47:15.67755
37,mqtt,f,21.31,44.44,3.53,1772146035.7281895,1772146035.7315223,3.332853317260742,91,2026-02-26 22:47:15.731632
38,mqtt,f,20.99,45.45,3.82,1772146035.7820082,1772146035.784632,2.6237964630126953,91,2026-02-26 22:47:15.784711
39,mqtt,f,28.7,48.47,3.82,1772146035.8355696,1772146035.8382738,2.704143524169922,90,2026-02-26 22:47:15.838363
40,mqtt,f,22.53,41.92,3.29,1772146035.8890586,1772146035.892293,3.234386444091797,91,2026-02-26 22:47:15.892385
41,mqtt,f,27.51,57.76,1.04,1772146035.943088,1772146035.9458091,2.721071243286133,90,2026-02-26 22:47:15.945962
42,mqtt,f,27.62,57.16,4.52,1772146035.9966905,1772146035.9997685,3.077983856201172,91,2026-02-26 22:47:15.999936
43,mqtt,f,22.52,40.15,2.36,1772146036.0503705,1772146036.0534165,3.0460357666015625,91,2026-02-26 22:47:16.053558
44,mqtt,f,29.5,48.98,4.73,1772146036.104099,1772146036.1074557,3.3566951751708984,89,2026-02-26 22:47:16.107581
45,mqtt,f,28.93,51.18,4.4,1772146036.1581004,1772146036.1614392,3.3388137817382812,90,2026-02-26 22:47:16.161577
46,mqtt,f,27.03,55.4,4.78,1772146036.212315,1772146036.2146308,2.3157596588134766,89,2026-02-26 22:47:16.21474
47,mqtt,f,26.1,46.18,4.65,1772146036.265317,1772146036.2679298,2.6128292083740234,89,2026-02-26 22:47:16.268089
48,mqtt,f,28.84,44.95,4.14,1772146036.3186748,1772146036.3216424,2.9675960540771484,91,2026-02-26 22:47:16.321769
49,mqtt,f,28.64,43.93,4.27,1772146036.3722777,1772146036.374665,2.3872852325439453,91,2026-02-26 22:47:16.374745
50,mqtt,f,24.9,58.44,2.39,1772146036.4254694,1772146036.428146,2.6764869689941406,90,2026-02-26 22:47:16.428255
51,mqtt,f,27.49,40.17,4.32,1772146036.4790099,1772146036.481526,2.516031265258789,91,2026-02-26 22:47:16.48162
52,mqtt,f,25.69,53.68,1.93,1772146036.5326915,1772146036.5367868,4.095315933227539,91,2026-02-26 22:47:16.536953
53,mqtt,f,28.29,58.65,3.07,1772146036.587848,1772146036.5941331,6.285190582275391,90,2026-02-26 22:47:16.594383
54,mqtt,f,22.24,40.08,3.66,1772146036.645308,1772146036.6478324,2.5243759155273438,90,2026-02-26 22:47:16.647918
55,mqtt,f,23.05,44.96,1.02,1772146036.6987622,1772146036.701928,3.165721893310547,91,2026-02-26 22:47:16.702026
56,mqtt,f,24.91,41.53,2.42,1772146036.7528033,1772146036.7556157,2.8123855590820312,91,2026-02-26 22:47:16.755729
57,mqtt,f,24.65,46.79,3,1772146036.806667,1772146036.8098211,3.1540393829345703,89,2026-02-26 22:47:16.809969
58,mqtt,f,27.37,43.25,2.82,1772146036.8606122,1772146036.8642871,3.6749839782714844,91,2026-02-26 22:47:16.864445
59,mqtt,f,29.68,52.38,3.57,1772146036.915194,1772146036.9188929,3.6988258361816406,90,2026-02-26 22:47:16.919015
60,mqtt,f,23.64,42.23,4.8,1772146036.9698222,1772146036.9723573,2.535104751586914,90,2026-02-26 22:47:16.972448
61,mqtt,f,27.15,42.02,1.39,1772146037.0233557,1772146037.0268767,3.520965576171875,91,2026-02-26 22:47:17.026964
62,mqtt,f,22.25,44.34,4.08,1772146037.077551,1772146037.0804296,2.8786659240722656,90,2026-02-26 22:47:17.080538
63,mqtt,f,26.34,57.61,4.66,1772146037.1312332,1772146037.1340034,2.7701854705810547,91,2026-02-26 22:47:17.134154
64,mqtt,f,27.8,54.74,2.71,1772146037.1847854,1772146037.1874175,2.63214111328125,90,2026-02-26 22:47:17.1875
65,mqtt,f,23.38,51.38,4.6,1772146037.2380242,1772146037.24108,3.0558109283447266,90,2026-02-26 22:47:17.241174
66,mqtt,f,27.95,54.85,3.23,1772146037.2919168,1772146037.295798,3.881216049194336,91,2026-02-26 22:47:17.295886
67,mqtt,f,21.55,49.83,2.47,1772146037.346378,1772146037.3491936,2.8154850006103516,90,2026-02-26 22:47:17.349294
68,mqtt,f,26.28,55.78,3.25,1772146037.3999362,1772146037.4028444,2.9082298278808594,91,2026-02-26 22:47:17.402951
69,mqtt,f,29.41,47.7,3.8,1772146037.453716,1772146037.456662,2.9458999633789062,88,2026-02-26 22:47:17.456801
70,mqtt,f,26.89,46.29,1.87,1772146037.5075297,1772146037.5116625,4.132747650146484,91,2026-02-26 22:47:17.511793
71,mqtt,f,29.59,46.29,1.08,1772146037.5626035,1772146037.5661705,3.5669803619384766,91,2026-02-26 22:47:17.566262
72,mqtt,f,23.01,52,4.36,1772146037.6168647,1772146037.6199884,3.123760223388672,90,2026-02-26 22:47:17.620081
73,mqtt,f,21.65,49.13,4.53,1772146037.6707675,1772146037.674913,4.145383834838867,91,2026-02-26 22:47:17.675061
